imagem_1,imagem_2,similaridade
dataset_final\images\train\train_1947.jpg,dataset_final\images\train\val_1742.jpg,100.0
dataset_final\images\train\train_1954.jpg,dataset_final\images\train\val_1748.jpg,100.0
dataset_final\images\train\train_1963.jpg,dataset_final\images\test\train_1757.jpg,100.0
dataset_final\images\train\train_1973.jpg,dataset_final\images\train\val_1767.jpg,100.0
dataset_final\images\train\train_21.jpg,dataset_final\images\train\train_85.jpg,100.0
dataset_final\images\train\train_22.jpg,dataset_final\images\train\train_86.jpg,100.0
dataset_final\images\train\train_25.jpg,dataset_final\images\val\val_89.jpg,100.0
dataset_final\images\train\train_254.jpg,dataset_final\images\val\val_255.jpg,100.0
dataset_final\images\train\train_30.jpg,dataset_final\images\val\train_94.jpg,100.0
dataset_final\images\train\train_347.jpg,dataset_final\images\train\train_348.jpg,100.0
dataset_final\images\train\train_347.jpg,dataset_final\images\train\train_349.jpg,96.88
dataset_final\images\train\train_348.jpg,dataset_final\images\train\train_349.jpg,96.88
dataset_final\images\train\train_35.jpg,dataset_final\images\train\train_99.jpg,100.0
dataset_final\images\train\train_368.jpg,dataset_final\images\train\val_367.jpg,90.62
dataset_final\images\train\train_37.jpg,dataset_final\images\test\train_101.jpg,100.0
dataset_final\images\train\train_404.jpg,dataset_final\images\test\train_405.jpg,90.62
dataset_final\images\train\train_409.jpg,dataset_final\images\val\test_410.jpg,90.62
dataset_final\images\train\train_5.jpg,dataset_final\images\train\train_69.jpg,100.0
dataset_final\images\train\train_50.jpg,dataset_final\images\train\val_114.jpg,100.0
dataset_final\images\train\train_54.jpg,dataset_final\images\val\train_118.jpg,100.0
dataset_final\images\train\train_565.jpg,dataset_final\images\val\train_566.jpg,96.88
dataset_final\images\train\train_57.jpg,dataset_final\images\train\val_121.jpg,100.0
dataset_final\images\train\train_592.jpg,dataset_final\images\train\val_593.jpg,93.75
dataset_final\images\train\train_61.jpg,dataset_final\images\train\val_125.jpg,100.0
dataset_final\images\train\train_62.jpg,dataset_final\images\val\train_126.jpg,100.0
dataset_final\images\train\train_64.jpg,dataset_final\images\val\val_128.jpg,100.0
dataset_final\images\train\train_73.jpg,dataset_final\images\val\test_9.jpg,100.0
dataset_final\images\train\train_84.jpg,dataset_final\images\val\train_20.jpg,100.0
dataset_final\images\train\train_842.jpg,dataset_final\images\train\train_843.jpg,93.75
dataset_final\images\train\train_850.jpg,dataset_final\images\train\train_851.jpg,100.0
dataset_final\images\train\train_852.jpg,dataset_final\images\test\test_853.jpg,100.0
dataset_final\images\train\train_858.jpg,dataset_final\images\val\train_857.jpg,100.0
dataset_final\images\train\train_943.jpg,dataset_final\images\train\train_944.jpg,90.62
dataset_final\images\train\train_957.jpg,dataset_final\images\val\val_958.jpg,93.75
dataset_final\images\train\train_96.jpg,dataset_final\images\train\val_32.jpg,100.0
dataset_final\images\train\train_98.jpg,dataset_final\images\train\val_34.jpg,100.0
dataset_final\images\train\train_981.jpg,dataset_final\images\train\val_1413.jpg,100.0
dataset_final\images\train\train_983.jpg,dataset_final\images\train\val_1430.jpg,100.0
dataset_final\images\train\train_988.jpg,dataset_final\images\test\test_1424.jpg,100.0
dataset_final\images\train\train_990.jpg,dataset_final\images\train\val_1422.jpg,100.0
dataset_final\images\train\val_120.jpg,dataset_final\images\val\val_56.jpg,100.0
dataset_final\images\train\val_124.jpg,dataset_final\images\test\val_60.jpg,100.0
dataset_final\images\train\val_1436.jpg,dataset_final\images\val\train_1437.jpg,100.0
dataset_final\images\train\val_1437.jpg,dataset_final\images\train\val_439.jpg,100.0
dataset_final\images\train\val_15.jpg,dataset_final\images\val\val_79.jpg,100.0
dataset_final\images\train\val_1502.jpg,dataset_final\images\val\test_1593.jpg,100.0
